iter	Passed	Remaining
0	1	266
1	2	238
2	3	230
3	4	226
4	5	221
5	7	227
6	8	226
7	9	224
8	10	225
9	11	225
10	13	224
11	14	222
12	15	222
13	16	222
14	18	222
15	19	223
16	20	222
17	21	219
18	22	217
19	24	216
20	25	215
21	26	215
22	27	214
23	29	213
24	30	212
25	31	212
26	33	211
27	34	209
28	35	208
29	36	206
30	37	205
31	38	203
32	39	202
33	41	200
34	42	199
35	43	199
36	44	198
37	46	197
38	47	196
39	48	195
40	49	193
41	51	192
42	52	191
43	53	189
44	54	187
45	55	186
46	56	185
47	58	183
48	59	182
49	60	181
50	61	179
51	62	178
52	63	176
53	64	175
54	66	174
55	67	173
56	68	171
57	69	170
58	70	169
59	72	168
60	74	170
61	76	170
62	78	169
63	80	171
64	81	169
65	82	168
66	84	167
67	85	166
68	86	165
69	88	163
70	89	163
71	91	161
72	92	160
73	93	159
74	94	157
75	95	156
76	96	154
77	98	153
78	99	151
79	100	150
80	101	149
81	102	147
82	104	146
83	105	145
84	106	143
85	107	142
86	108	141
87	109	139
88	110	138
89	111	136
90	113	135
91	114	133
92	115	132
93	116	131
94	117	130
95	118	128
96	119	127
97	120	125
98	121	124
99	123	123
100	124	122
101	125	120
102	126	119
103	127	117
104	128	116
105	130	115
106	131	114
107	132	112
108	133	111
109	134	110
110	135	108
111	136	107
112	138	106
113	139	105
114	140	103
115	141	102
116	142	101
117	143	99
118	144	98
119	145	97
120	146	95
121	148	94
122	149	93
123	150	92
124	151	91
125	153	89
126	154	88
127	155	87
128	156	86
129	158	85
130	159	83
131	160	82
132	161	81
133	162	80
134	164	78
135	165	77
136	166	76
137	167	75
138	168	73
139	169	72
140	170	71
141	172	70
142	173	69
143	175	68
144	176	66
145	177	65
146	178	64
147	179	63
148	180	61
149	182	60
150	183	59
151	184	58
152	185	56
153	186	55
154	187	54
155	188	53
156	189	52
157	190	50
158	191	49
159	192	48
160	194	47
161	195	45
162	196	44
163	197	43
164	198	42
165	200	40
166	201	39
167	203	38
168	204	37
169	206	36
170	207	35
171	209	34
172	210	32
173	211	31
174	213	30
175	216	29
176	217	28
177	218	27
178	220	25
179	221	24
180	223	23
181	224	22
182	225	20
183	226	19
184	227	18
185	229	17
186	230	16
187	232	14
188	234	13
189	237	12
190	238	11
191	240	10
192	241	8
193	242	7
194	243	6
195	245	5
196	246	3
197	247	2
198	249	1
199	250	0
